puuid,date,lane,individualPosition,win,match_id,championname
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 23:10:22,BOTTOM,BOTTOM,True,EUW1_5552437543,Jhin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 22:16:42,BOTTOM,UTILITY,False,EUW1_5552289421,Yuumi
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 21:39:24,NONE,JUNGLE,False,EUW1_5552340673,Lillia
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 21:13:53,NONE,JUNGLE,True,EUW1_5552235930,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 20:30:22,BOTTOM,UTILITY,True,EUW1_5552166358,Leona
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 19:46:08,JUNGLE,JUNGLE,False,EUW1_5552068463,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 13:24:46,JUNGLE,BOTTOM,True,EUW1_5551543962,Tristana
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 12:42:00,BOTTOM,UTILITY,False,EUW1_5551449468,Zilean
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 02:27:14,NONE,Invalid,False,EUW1_5551182362,LeeSin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 01:36:34,BOTTOM,UTILITY,False,EUW1_5551158263,Zilean
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 00:49:19,JUNGLE,JUNGLE,True,EUW1_5551135415,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-12 00:12:26,JUNGLE,JUNGLE,True,EUW1_5551084182,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 23:49:51,NONE,UTILITY,False,EUW1_5551082086,Lux
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 22:57:06,NONE,JUNGLE,False,EUW1_5551033882,LeeSin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 22:01:36,BOTTOM,UTILITY,False,EUW1_5550885413,Nami
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 21:40:47,NONE,JUNGLE,False,EUW1_5550911282,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 20:18:38,BOTTOM,UTILITY,True,EUW1_5550485344,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 19:46:38,BOTTOM,UTILITY,False,EUW1_5550269251,Leona
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 19:17:52,NONE,BOTTOM,True,EUW1_5550293673,Jhin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 18:53:17,NONE,JUNGLE,False,EUW1_5550159712,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 18:15:50,BOTTOM,UTILITY,True,EUW1_5550193016,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 17:25:18,BOTTOM,UTILITY,False,EUW1_5550035778,Rell
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 16:59:28,NONE,UTILITY,True,EUW1_5550009151,Karma
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 16:16:25,BOTTOM,UTILITY,True,EUW1_5549983495,Leona
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 15:32:41,TOP,UTILITY,True,EUW1_5549856936,Leona
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 14:44:35,BOTTOM,UTILITY,False,EUW1_5549799512,Rakan
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 14:04:33,BOTTOM,UTILITY,False,EUW1_5549754645,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 13:29:23,BOTTOM,BOTTOM,False,EUW1_5549708963,Jhin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 13:01:10,NONE,UTILITY,True,EUW1_5549705758,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 02:46:58,BOTTOM,UTILITY,True,EUW1_5549366012,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 02:15:07,JUNGLE,JUNGLE,True,EUW1_5549374695,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 01:39:54,NONE,UTILITY,True,EUW1_5549320119,Zilean
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 01:00:01,BOTTOM,UTILITY,False,EUW1_5549390618,Zilean
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-11 00:28:23,NONE,UTILITY,True,EUW1_5549278292,Rell
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 23:59:10,BOTTOM,BOTTOM,False,EUW1_5549245992,Jhin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 23:12:32,BOTTOM,BOTTOM,False,EUW1_5549221651,Jhin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 21:59:14,NONE,UTILITY,True,EUW1_5549069192,Nami
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 20:10:44,BOTTOM,UTILITY,False,EUW1_5548921371,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 19:31:13,BOTTOM,BOTTOM,False,EUW1_5548862698,Jhin
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 17:17:21,BOTTOM,UTILITY,False,EUW1_5548599916,Nami
