Target Champ,Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Player puuid,Match ID,Date added
Sett,Garen,Zac,Nunu,Zeri,Pyke,Goredrinker,Doran's Blade,Pickaxe,Plated Steelcaps,Phage,Ruby Crystal,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5704119502,3/2/2022
Sett,Garen,Yone,Zed,Twitch,Rell,Goredrinker,Phage,Doran's Blade,Plated Steelcaps,Ruby Crystal,Bramble Vest,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5702815126,3/2/2022
Sett,Irelia,Vladimir,Vi,Jhin,Nami,Goredrinker,Plated Steelcaps,Tiamat,Bramble Vest,Sterak's Gage,Giant's Belt,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5702719230,3/2/2022
Sett,DrMundo,LeeSin,Malzahar,Jhin,Lux,Goredrinker,Mercury's Treads,Sterak's Gage,Titanic Hydra,Bramble Vest,Giant's Belt,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5702691824,3/2/2022
Sett,Mordekaiser,Zac,Yasuo,Tristana,Seraphine,Goredrinker,Doran's Blade,Plated Steelcaps,Phage,Ruby Crystal,Pickaxe,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5701386406,3/2/2022
Sett,Irelia,Ekko,Viktor,Ezreal,Senna,Goredrinker,Sterak's Gage,Giant's Belt,Bramble Vest,Mercury's Treads,Tiamat,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5701258687,3/2/2022
Sett,Illaoi,Diana,Veigar,Senna,Zyra,Doran's Shield,Bramble Vest,Goredrinker,Long Sword,Titanic Hydra,Mercury's Treads,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5701261040,3/2/2022
Sett,Akali,Kayn,Lux,Jinx,Lulu,Goredrinker,Mercury's Treads,Ruby Crystal,Sterak's Gage,Giant's Belt,Tiamat,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5701010858,3/2/2022
Sett,Ornn,Hecarim,Akali,Sion,Senna,Goredrinker,Refillable Potion,Ruby Crystal,Mercury's Treads,Long Sword,Ruby Crystal,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5700876646,3/2/2022
Sett,Camille,Diana,Yasuo,Jinx,Janna,Goredrinker,Bramble Vest,Control Ward,Plated Steelcaps,Ruby Crystal,Sterak's Gage,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5700852441,3/2/2022
